City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
242,Atar,MR,82.83,broken clouds,20.5169,-13.0499,Oumou Elghoura
244,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,Fare,PF,79.09,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
248,Kavaratti,IN,84.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
254,Esmeralda,CU,81.88,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
261,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
265,Avera,US,82.54,clear sky,33.194,-82.5271,
266,La Reforma,MX,83.41,scattered clouds,25.0833,-108.05,Hotel Reforma
269,Biak,ID,76.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
270,Vanimo,PG,76.98,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
271,Humaita,BR,83.23,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
274,Padang,ID,79.09,overcast clouds,-0.9492,100.3543,Mercure Padang
285,Bosaso,SO,83.14,overcast clouds,11.2842,49.1816,Red Sea Hotel
286,Thinadhoo,MV,84.43,overcast clouds,0.5333,72.9333,
288,Ternate,ID,79.05,light rain,0.8,127.4,Sahid Bela Ternate Hotel
291,Amnat Charoen,TH,79.12,clear sky,15.9167,104.75,หอพักนักศึกษา
295,Unai,BR,85.05,overcast clouds,-16.3575,-46.9061,Hotel Regente
298,Canatlan,MX,87.31,clear sky,24.5167,-104.7833,AUTOLAVADO El Negro
300,Celestun,MX,85.26,clear sky,20.8667,-90.4,Posada Lilia
301,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
306,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
307,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
309,Zhuhai,CN,78.85,mist,22.2769,113.5678,珠海粤财假日酒店
311,Zapopan,MX,89.94,clear sky,20.7167,-103.4,Hotel Real Zapopan
314,Sumbe,AO,77.04,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
315,Mogadishu,SO,82.96,few clouds,2.0371,45.3438,Hotel Juba
316,Sumenep,ID,79.92,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
318,Male,MV,80.55,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
322,Tubuala,PA,81.97,overcast clouds,9.5167,-79.0333,Río Nabagana
325,Kidal,ML,89.78,clear sky,18.4411,1.4078,
328,Kota Belud,MY,76.62,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
329,Haapiti,PF,78.53,moderate rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
330,Dickinson,US,85.06,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
332,Patiya,BD,76.55,clear sky,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
333,Caborca,MX,83.43,clear sky,30.5838,-111.101,Hotel Los Lagos
345,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
351,Bomi,SL,80.78,overcast clouds,7.2461,-11.5258,
361,Sangueya,GN,77.38,overcast clouds,10.7,-14.3667,
364,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
367,Lazaro Cardenas,MX,85.64,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
368,Tessaoua,NE,94.15,few clouds,13.7574,7.9874,Benin Dan Kaabou Heberge
376,Cravo Norte,CO,91.11,scattered clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
377,Rajanpur,PK,85.8,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
384,Bondoukou,CI,81.81,light rain,8.0333,-2.8,Prestige Hotel
387,Rajur,IN,90.55,scattered clouds,20.1167,78.9167,N D K Tea Point
395,Eagle Pass,US,91.27,clear sky,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
396,Odweyne,SO,77.0,broken clouds,9.4092,45.064,Eng Hiirey House
405,Veraval,IN,83.12,clear sky,20.9,70.3667,Lords Inn Somnath
407,Coahuayana,MX,90.5,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
408,Basirpur,PK,81.32,clear sky,30.5832,73.829,Lugoo goods
411,Mehran,IR,75.04,clear sky,33.1222,46.1646,بوتیک زنانه بهار
414,Itaituba,BR,86.16,broken clouds,-4.2761,-55.9836,Hotel Campos
415,Ariquemes,BR,80.94,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
416,Santa Cruz Del Sur,CU,83.55,light rain,20.7147,-77.9956,
417,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
422,Amahai,ID,78.33,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
424,Harper,LR,78.51,few clouds,4.375,-7.7169,Screensaver
426,Cienfuegos,CU,86.14,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
430,Akyab,MM,81.9,clear sky,20.15,92.9,Hotel Memory
432,Kahului,US,75.97,light rain,20.8947,-156.47,Maui Seaside Hotel
437,Dogbo,BJ,77.72,moderate rain,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
438,Trincomalee,LK,79.43,overcast clouds,8.5711,81.2335,Welcombe Hotel
439,Srivardhan,IN,83.73,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
441,Jardim,BR,81.61,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
443,Hamilton,US,78.03,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
445,Trat,TH,76.95,few clouds,12.5,102.5,สวนหนิง-อัศ
446,Umm Kaddadah,SD,84.07,clear sky,13.6017,26.6876,
448,Harindanga,IN,81.43,few clouds,22.0383,88.3214,Hasanur Builders
453,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
454,Kudahuvadhoo,MV,84.36,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
456,Srandakan,ID,76.12,broken clouds,-7.9386,110.2506,Puri Brata
458,Bagh,IN,89.49,clear sky,22.3667,74.7667,Guddu Khan
460,Poum,NC,75.76,broken clouds,-20.2333,164.0167,
461,Porto Walter,BR,86.23,broken clouds,-8.2686,-72.7439,Secretaria de saúde
463,Puerto Escondido,MX,86.85,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
469,Caravelas,BR,78.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
483,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
484,Nata,PA,85.87,overcast clouds,8.3333,-80.5167,Rey David
485,Sembe,CG,75.76,broken clouds,1.6481,14.5806,
487,Adrar,MR,79.86,scattered clouds,20.5022,-10.0711,
493,Dingle,PH,76.15,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
494,Weligama,LK,79.5,overcast clouds,5.9667,80.4167,Weligama Bay Resort
496,Fort Carson,US,84.45,clear sky,38.7375,-104.7889,Cheyenne Mountain Estates
497,Purwa,IN,78.82,clear sky,26.4667,80.7833,Sahu Sweets House
498,Buenaventura,CO,82.22,overcast clouds,3.8801,-77.0312,Hotel Victoria
502,Acarau,BR,80.44,light rain,-2.8856,-40.12,castelo pizzaria
506,Sola,VU,81.72,overcast clouds,-13.8833,167.55,Leumerus Bungalows
507,Carauari,BR,82.15,overcast clouds,-4.8828,-66.8958,Hotel Fellip
509,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
510,Santa Isabel Do Rio Negro,BR,81.5,overcast clouds,-0.4139,-65.0192,Hotel GSA
518,Paulo Ramos,BR,80.64,overcast clouds,-4.2167,-45.1833,Hotel milena
522,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
526,Araouane,ML,83.66,overcast clouds,18.9048,-3.5265,
527,Finschhafen,PG,76.03,moderate rain,-6.6024,147.8681,Cossam Guest House
528,Mohpa,IN,87.15,broken clouds,21.3167,78.8167,Arvind Waghmare
533,Mattru,SL,81.32,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
534,Meulaboh,ID,78.1,light rain,4.1363,96.1285,Kost Pria
535,Cururupu,BR,80.94,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
537,Waingapu,ID,79.09,very heavy rain,-9.6567,120.2641,Pondok Wisata Elim
539,Tessalit,ML,85.84,overcast clouds,20.1986,1.0114,
543,Culpeper,US,77.02,clear sky,38.5004,-77.9664,Loose Lodge
